581,520,57,win
803,200,24,win
627,310,37,win
587,210,32,win
719,510,37,win
510,710,29,win
522,310,126,win
608,920,31,win
531,410,33,win
752,320,16,win
562,510,18,win
0,110,52,lose
0,0,81,lose
227,430,44,win
743,500,32,win
573,710,53,win
238,320,34,win
742,400,40,win
788,110,18,win
786,310,30,win
296,710,38,win
722,143,15,win
526,404,31,win
788,182,14,win
641,271,20,win
128,844,67,win
109,938,76,win
772,235,19,win
327,704,57,win
717,276,22,win
28,964,77,win
597,380,30,win
322,655,52,win
484,483,38,win
752,219,17,win
9,1028,83,win
763,207,16,win
361,647,52,win
235,753,60,win
241,801,65,win
351,619,49,win
718,236,18,win
32,953,76,win
671,245,18,win
642,291,22,win
589,302,22,win
407,528,41,win
599,320,24,win
696,230,17,win
205,849,69,win
469,496,39,win
674,215,15,win
4,1039,84,win
458,548,44,win
643,241,17,win
714,307,25,win
774,255,21,win
611,357,28,win
546,340,25,win
217,766,61,win
576,384,30,win
146,860,69,win
345,601,47,win
695,231,17,win
428,544,43,win
676,224,16,win
642,251,18,win
421,565,45,win
771,285,24,win
280,684,54,win
778,294,25,win
797,190,15,win
645,311,24,win
733,223,17,win
732,213,16,win
659,238,17,win
705,289,23,win
415,577,46,win
778,224,18,win
142,921,75,win
321,605,47,win
750,200,15,win
424,555,44,win
260,738,59,win
557,348,26,win
213,767,61,win
165,817,65,win
0,1100,90,lose
575,335,25,win
249,740,59,win
653,309,24,win
139,912,74,win
706,228,17,win
371,565,44,win
588,392,31,win
324,695,56,win
236,792,64,win
661,217,15,win
314,697,56,win
586,322,24,win
508,458,36,win
163,847,68,win
668,216,15,win
443,521,41,win
671,265,20,win
351,629,50,win
8,1048,85,win
346,640,51,win
593,301,22,win
552,419,33,win
342,621,49,win
354,599,47,win
401,589,47,win
541,351,26,win
571,405,32,win
755,219,17,win
583,303,22,win
502,399,30,win
99,880,70,win
220,756,60,win
50,980,79,win
519,426,33,win
630,294,22,win
594,361,28,win
305,649,51,win
279,764,62,win
25,1035,84,win
494,451,35,win
785,213,17,win
313,707,57,win
206,838,68,win
20,1006,81,win
115,937,76,win
655,279,21,win
210,848,69,win
690,212,15,win
244,801,65,win
216,766,61,win
9,1068,87,win
669,266,20,win
531,383,29,win
533,363,27,win
401,559,44,win
109,968,79,win
738,202,15,win
635,323,25,win
375,645,52,win
486,482,38,win
309,628,49,win
520,466,37,win
796,210,17,win
568,316,23,win
428,484,37,win
97,950,77,win
54,1009,82,win
236,722,57,win
116,906,73,win
14,1007,81,win
489,502,40,win
519,406,31,win
134,903,73,win
176,844,68,win
749,280,23,win
286,712,57,win
103,969,79,win
557,348,26,win
393,541,42,win
498,480,38,win
694,241,18,win
14,1047,85,win
602,329,25,win
720,296,24,win
155,849,68,win
722,295,24,win
697,250,19,win
479,474,37,win
502,439,34,win
549,370,28,win
30,1034,84,win
273,685,54,win
272,685,54,win
639,282,21,win
471,465,36,win
140,872,70,win
560,378,29,win
295,691,55,win
86,892,71,win
349,620,49,win
245,791,64,win
249,800,65,win
27,994,80,win
713,227,17,win
344,611,48,win
576,324,24,win
515,407,31,win
418,576,46,win
637,262,19,win
319,706,57,win
795,201,16,win
510,438,34,win
301,669,53,win
113,867,69,win
493,451,35,win
782,283,24,win
678,224,16,win
722,305,25,win
725,245,19,win
317,616,48,win
410,538,42,win
8,988,79,win
741,191,14,win
502,439,34,win
688,252,19,win
506,388,29,win
55,939,75,win
186,782,62,win
669,216,15,win
693,201,14,win
773,245,20,win
384,593,47,win
308,638,50,win
785,213,17,win
325,655,52,win
345,581,45,win
735,263,21,win
451,509,40,win
353,669,54,win
570,396,31,win
428,574,46,win
576,404,32,win
288,722,58,win
55,1009,82,win
629,274,20,win
570,376,29,win
767,256,21,win
522,375,28,win
249,730,58,win
88,942,76,win
789,282,24,win
173,875,71,win
230,794,64,win
554,359,27,win
489,442,34,win
308,688,55,win
380,624,50,win
763,277,23,win
772,215,17,win
677,254,19,win
266,676,53,win
27,964,77,win
522,455,36,win
650,320,25,win
51,999,81,win
77,974,79,win
595,381,30,win
449,460,35,win
710,248,19,win
461,467,36,win
93,951,77,win
775,285,24,win
504,449,35,win
50,1030,84,win
489,442,34,win
508,488,39,win
205,849,69,win
477,424,32,win
562,377,29,win
319,646,51,win
466,496,39,win
84,953,77,win
239,762,61,win
178,784,62,win
754,299,25,win
160,878,71,win
370,596,47,win
483,483,38,win
418,506,39,win
417,596,48,win
403,529,41,win
456,478,37,win
652,239,17,win
783,213,17,win
667,266,20,win
588,352,27,win
352,629,50,win
723,235,18,win
22,1025,83,win
80,984,80,win
218,826,67,win
338,692,56,win
29,1054,86,win
685,243,18,win
557,338,25,win
698,210,15,win
351,639,51,win
394,611,49,win
435,523,41,win
445,561,45,win
375,645,52,win
537,382,29,win
362,597,47,win
345,611,48,win
710,238,18,win
339,692,56,win
88,892,71,win
643,281,21,win
325,655,52,win
693,201,14,win
452,489,38,win
459,458,35,win
777,254,21,win
644,301,23,win
331,673,54,win
577,364,28,win
571,405,32,win
207,758,60,win
789,282,24,win
327,654,52,win
688,262,20,win
793,261,22,win
497,490,39,win
256,748,60,win
791,221,18,win
545,401,31,win
374,645,52,win
172,875,71,win
567,396,31,win
145,901,73,win
469,536,43,win
79,924,74,win
304,649,51,win
387,602,48,win
788,242,20,win
372,595,47,win
300,710,57,win
594,301,22,win
124,885,71,win
761,297,25,win
17,976,78,win
696,220,16,win
207,798,64,win
670,246,18,win
326,644,51,win
625,285,21,win
335,623,49,win
724,205,15,win
662,217,15,win
249,720,57,win
586,352,27,win
768,206,16,win
341,651,52,win
614,327,25,win
615,287,21,win
412,567,45,win
269,776,63,win
516,436,34,win
313,647,51,win
393,541,42,win
228,744,59,win
555,329,24,win
633,243,17,win
550,370,28,win
727,244,19,win
36,972,78,win
432,563,45,win
603,329,25,win
421,505,39,win
237,772,62,win
232,813,66,win
305,649,51,win
218,766,61,win
249,710,56,win
506,438,34,win
160,838,67,win
68,916,73,win
758,258,21,win
659,258,19,win
576,374,29,win
431,543,43,win
583,383,30,win
702,239,18,win
310,658,52,win
450,520,41,win
762,287,24,win
573,355,27,win
664,257,19,win
142,851,68,win
265,707,56,win
689,212,15,win
